County,Topic,Indicator,AbsoluteIndexDisparity,RelativeIndexDisparity,PopulationWeightedIndexDisparity,PopulationAttributableProportion
Throckmorton,Poverty,% POV BLACK,79.61923556279075,3.9065873023599416,0.003933805287258526,0.0
Titus,Poverty,% POV BLACK,6.517013340568518,0.3197629490614383,0.006986976804882872,1.0
Tom Green,Poverty,% POV BLACK,3.2840977705425907,0.16113712420652868,0.013521987973282173,1.0
Travis,Poverty,% POV BLACK,1.077660988933399,0.052876377245492726,0.04770539806808948,1.0
Trinity,Poverty,% POV BLACK,31.033235562790743,1.5226727956353403,0.014483122119600995,0.0
Tyler,Poverty,% POV BLACK,25.88256889612407,1.2699508389817873,0.017581707990926284,0.0
Upshur,Poverty,% POV BLACK,4.344235562790743,0.21315371050849555,0.0060951455755258515,1.0
Upton,Poverty,% POV BLACK,20.38076443720926,1.0,0.002313227434678466,0.0
Uvalde,Poverty,% POV BLACK,12.952568896124077,0.6355291007866471,0.010916599155278593,1.0
Val Verde,Poverty,% POV BLACK,6.121478722923547,0.3003556977356322,0.009994657326858173,1.0
Van Zandt,Poverty,% POV BLACK,12.451478722923543,0.6109426739750163,0.025437206715113365,0.0
Victoria,Poverty,% POV BLACK,1.9276355627907407,0.09458112175966507,0.006039742749021372,1.0
Walker,Poverty,% POV BLACK,0.8825688961240701,0.04330401339180192,0.002313525764889188,1.0
Waller,Poverty,% POV BLACK,1.178037164481978,0.05780142192955383,0.002295587297259843,1.0
Ward,Poverty,% POV BLACK,7.9507644372092585,0.3901111983166593,0.0031764604136683937,1.0
Washington,Poverty,% POV BLACK,3.6159022294574044,0.17741739965630704,0.004442144903446407,1.0
Webb,Poverty,% POV BLACK,4.432793422716504,0.2174988792188546,0.04062622858193984,1.0
Wharton,Poverty,% POV BLACK,10.309235562790743,0.505831643094266,0.014704113685295136,1.0
Wheeler,Poverty,% POV BLACK,21.789235562790743,1.0691078654051873,0.0037305675114813197,0.0
Wichita,Poverty,% POV BLACK,7.517644653699833,0.368859798014977,0.03336419037743636,1.0
Wilbarger,Poverty,% POV BLACK,16.634235562790742,0.8161732899685322,0.007355073888486913,1.0
Willacy,Poverty,% POV BLACK,12.952568896124077,0.6355291007866471,0.00896117510857505,1.0
Williamson,Poverty,% POV BLACK,11.429060733505555,0.5607768427291895,0.23882089427767117,1.0
Wilson,Poverty,% POV BLACK,7.38659777054259,0.3624298682858452,0.012609448365421093,1.0
Winkler,Poverty,% POV BLACK,20.38076443720926,1.0,0.005448112135302277,1.0
Wise,Poverty,% POV BLACK,18.049514437209258,0.8856151835137338,0.04250348512671523,1.0
Wood,Poverty,% POV BLACK,2.3350688961240778,0.11457219395858044,0.0035927477182857996,1.0
Yoakum,Poverty,% POV BLACK,20.38076443720926,1.0,0.005380281705688065,0.0
Young,Poverty,% POV BLACK,14.416764437209258,0.7073711332872531,0.008837955364224753,1.0
Zapata,Poverty,% POV BLACK,20.38076443720926,1.0,0.009712338524863732,1.0
Zavala,Poverty,% POV BLACK,4.619235562790742,0.2266468255899853,0.0015326004483815015,1.0
Anderson,Poverty,% POV HISPANIC,2.017883428389588,0.10175681530485743,0.004010254982946846,1.0
Andrews,Poverty,% POV HISPANIC,3.6479499049437436,0.18395699151708642,0.0023293116725408014,1.0
Angelina,Poverty,% POV HISPANIC,9.370978666484824,0.4725550207586885,0.027778316524103296,1.0
Aransas,Poverty,% POV HISPANIC,9.730459185965344,0.49068272442671784,0.007955907805238664,1.0
Archer,Poverty,% POV HISPANIC,12.637116571610413,0.6372581878971879,0.0037115397867022244,1.0
Armstrong,Poverty,% POV HISPANIC,11.700449904943744,0.5900244301581283,0.0007418855162742197,0.0
Atascosa,Poverty,% POV HISPANIC,7.938142212636052,0.40030066139130144,0.013340708250030758,1.0
Austin,Poverty,% POV HISPANIC,1.2829499049437452,0.06469595551757526,0.0013279269541934793,1.0
Bailey,Poverty,% POV HISPANIC,5.990449904943745,0.302083408780873,0.0014190333016208347,1.0
Bandera,Poverty,% POV HISPANIC,9.723307047800887,0.4903220599839674,0.0069562191031433025,0.0
Bastrop,Poverty,% POV HISPANIC,9.548068952562792,0.4814852410475292,0.031848256226139994,1.0
Baylor,Poverty,% POV HISPANIC,14.389550095056254,0.7256290282889108,0.0017107353063268622,0.0
Bee,Poverty,% POV HISPANIC,0.2860054604993003,0.014422540177870546,0.0003046676415127059,1.0
Bell,Poverty,% POV HISPANIC,2.086031300292582,0.10519334207200882,0.026528559838915194,1.0
Bexar,Poverty,% POV HISPANIC,2.8137294748362187,0.14188934130711547,0.19398344852524152,1.0
Blanco,Poverty,% POV HISPANIC,9.167949904943745,0.4623167880148886,0.0035778144979705146,0.0
Borden,Poverty,% POV HISPANIC,4.5404499049437455,0.22896353470083441,9.830160568310653e-05,0.0
