County,Topic,Indicator,AbsoluteIndexDisparity,RelativeIndexDisparity,PopulationWeightedIndexDisparity,PAP_Urban,PAP_Rural
Carson,Poverty,% PERSON INC 100 124,3.109839490732112,0.5664718423884905,0.012340632899730601,0.0,1.0
Cass,Poverty,% PERSON INC 100 124,0.9242839351765557,0.16836265190210423,0.00366779339355776,0.19440000000000002,0.8056
Castro,Poverty,% PERSON INC 100 124,1.7031728240654456,0.31024091450045554,0.006758622317720021,0.0,1.0
Chambers,Poverty,% PERSON INC 100 124,3.592696633589255,0.6544265346290009,0.01425673267297323,0.4589,0.5410999999999999
Cherokee,Poverty,% PERSON INC 100 124,1.1715890806964602,0.21341044354289854,0.004649163018636746,0.27540000000000003,0.7246
Childress,Poverty,% PERSON INC 100 124,0.8448394907321122,0.1538914739052683,0.0033525376616353655,0.6777,0.3223
Clay,Poverty,% PERSON INC 100 124,3.1665061573987785,0.5767939413792408,0.012565500624598325,0.0,1.0
Cochran,Poverty,% PERSON INC 100 124,1.900160509267888,0.34612314485254414,0.007540319481221777,0.0,1.0
Coke,Poverty,% PERSON INC 100 124,0.3498394907321112,0.06372490330959703,0.0013882519473496476,0.0,1.0
Coleman,Poverty,% PERSON INC 100 124,1.6831728240654455,0.3065978207390143,0.006679257238354942,0.4684,0.5316
Collin,Poverty,% PERSON INC 100 124,3.1150213089139296,0.5674157348630456,0.01236119567029337,0.9384999999999999,0.061500000000000006
Collingsworth,Poverty,% PERSON INC 100 124,3.980160509267889,0.725004896042435,0.01579428773519003,0.0,1.0
Colorado,Poverty,% PERSON INC 100 124,1.118160509267888,0.20367817878019104,0.004437144878047174,0.0,1.0
Comal,Poverty,% PERSON INC 100 124,2.712566763459384,0.4941067526725891,0.010764153823251521,0.5339,0.4661
Comanche,Poverty,% PERSON INC 100 124,2.815839490732112,0.512918364095304,0.011173966233063933,0.0,1.0
Concho,Poverty,% PERSON INC 100 124,1.689839490732112,0.30781218532616134,0.006705712264809967,0.0,1.0
Cooke,Poverty,% PERSON INC 100 124,1.143172824065445,0.20823428918010028,0.0045364000954977975,0.397,0.6029999999999999
Coryell,Poverty,% PERSON INC 100 124,0.028786859153164812,0.005243661349619143,0.00011423356806811432,0.8047000000000001,0.19530000000000003
Cottle,Poverty,% PERSON INC 100 124,1.2998394907321114,0.23677185697805672,0.005158093217190917,0.0,1.0
Crane,Poverty,% PERSON INC 100 124,1.099839490732112,0.2003409193636443,0.004364442423540126,0.0,1.0
Crockett,Poverty,% PERSON INC 100 124,1.1698394907321115,0.2130917475286886,0.004642220201317902,0.0,1.0
Crosby,Poverty,% PERSON INC 100 124,2.930160509267888,0.5337424735667688,0.011627621068523364,0.0,1.0
Culberson,Poverty,% PERSON INC 100 124,0.3401605092678883,0.06196183146012623,0.0013498432907455885,0.0,1.0
Dallam,Poverty,% PERSON INC 100 124,0.5051605092678884,0.0920173549920166,0.002004605195507493,0.767,0.23299999999999998
Dallas,Poverty,% PERSON INC 100 124,0.157261850980559,0.02864598341099895,0.0006240549642085673,0.9942,0.0058
Dawson,Poverty,% PERSON INC 100 124,4.722660509267889,0.8602547519359416,0.018740716306618603,0.7009,0.2991
DeWitt,Poverty,% PERSON INC 100 124,0.42349384260122136,0.07714138879946475,0.0016805311214334179,0.486,0.514
Deaf Smith,Poverty,% PERSON INC 100 124,0.21016050926788843,0.038281722010758086,0.000833970274872573,0.8351999999999999,0.1648
Delta,Poverty,% PERSON INC 100 124,0.5698394907321118,0.10379893468545096,0.0022612678203655224,0.0,1.0
Denton,Poverty,% PERSON INC 100 124,2.9061089207839252,0.529361363968835,0.011532178257079067,0.928,0.07200000000000001
Dickens,Poverty,% PERSON INC 100 124,1.5001605092678885,0.2732612696237191,0.005953017893920191,0.0,1.0
Dimmit,Poverty,% PERSON INC 100 124,0.6434938426012211,0.11721542017531852,0.0025535469944492897,0.6517999999999999,0.34819999999999995
Donley,Poverty,% PERSON INC 100 124,1.0951605092678882,0.19948862095453362,0.004345875036777334,0.0,1.0
Duval,Poverty,% PERSON INC 100 124,1.5468271759345544,0.2817618217337486,0.006138203079105373,0.0,1.0
Eastland,Poverty,% PERSON INC 100 124,0.2984109193035396,0.05435694792303376,0.0011841703146965854,0.0,1.0
Ector,Poverty,% PERSON INC 100 124,1.734384945277566,0.3159263487039168,0.006882479941577642,0.9091,0.09090000000000001
Edwards,Poverty,% PERSON INC 100 124,1.7698394907321116,0.3223845603719263,0.0070231725822702835,0.0,1.0
El Paso,Poverty,% PERSON INC 100 124,1.3753732752253356,0.2505306899313224,0.0054578304572433945,0.9598000000000001,0.04019999999999999
Ellis,Poverty,% PERSON INC 100 124,2.2359506018432227,0.40728888442329336,0.008872819848584216,0.6930999999999999,0.3069
Erath,Poverty,% PERSON INC 100 124,0.34567282406544475,0.06296592544263013,0.0013717175558152568,0.4900999999999999,0.5098999999999999
Falls,Poverty,% PERSON INC 100 124,0.3768271759345554,0.06864083668943527,0.0014953459362482353,0.318,0.682
